description,serving_size,"Carbohydrate, by difference-G",Cholesterol-MG,Energy-KCAL,"Fiber, total dietary-G",Protein-G,"Sugars, total including NLEA-G",Total lipid (fat)-G,"Magnesium, Mg-MG","Vitamin C, total ascorbic acid-MG",Vitamin B-6-MG
Kashi Golean Bars Peanut 7.95oz,45.0,45.8,0.0,447.0,10.6,20.6,19.0,23.3,153.0,0.0,0.03
Kashi Golean Bars Peanut 1.59oz,45.0,45.8,0.0,447.0,10.6,20.6,19.0,23.3,153.0,0.0,0.03
Keebler Town House Crackers Original 13.8oz,16.0,58.7,1.0,531.0,1.6,4.8,8.6,31.3,0.0,2.0,0.0
Keebler Town House Crackers Original 20.7oz,16.0,58.7,1.0,531.0,1.6,4.8,8.6,31.3,0.0,2.0,0.0
Kellogg's Fruit Pieces Non-Licensed Citrus Sours .7oz,20.0,77.5,0.0,323.0,0.2,3.1,54.6,0.1,0.0,60.0,0.0
KELLOGG EGGO WAFFLES CONFETTI CAKE 19.7OZ,70.0,39.5,16.0,282.0,1.0,5.3,6.9,11.7,15.0,0.0,0.57
Kellogg's Eggo Waffles Cinnamon 19.7oz,70.0,40.2,14.0,285.0,1.2,5.6,7.1,11.6,16.0,0.0,0.57
Kellogg's Eggo Waffles Cinnamon 12.3oz,70.0,40.2,14.0,285.0,1.2,5.6,7.1,11.6,16.0,0.0,0.57
KELLOGG SPECIAL K CEREAL BARS BLUEBERRY 5.28OZ,25.0,78.8,1.0,407.0,1.1,4.5,28.9,8.4,11.0,0.0,0.01
Kellogg's Special K Cereal Bars Blueberry Fruit Crisp .88oz,25.0,78.8,1.0,405.0,0.9,4.5,28.9,8.4,11.0,0.0,0.01
Kashi Waffles Original 10.1oz,72.0,34.9,0.0,200.0,9.3,4.4,3.8,7.0,39.0,0.0,0.03
Mother's Cookies Circus Animals 32oz,29.0,67.5,1.0,519.0,0.5,4.1,41.3,26.0,9.0,0.0,0.02
Mother's Cookies Circus Animals 12oz,29.0,67.5,1.0,519.0,0.5,4.1,41.3,26.0,9.0,0.0,0.02
Kellogg's Special K Protein Bars Strawberry 1.59oz,45.0,49.1,3.0,384.0,10.3,26.6,30.9,12.0,28.0,27.0,0.89
Kellogg's Eggo Waffles Rotational 9.8oz,70.0,44.5,14.0,239.0,1.1,5.6,9.2,4.6,16.0,0.0,0.26
Kellogg's Eggo Savory Handheld Sausage Egg & Cheese 27.6oz,98.0,20.6,133.0,264.0,2.5,10.9,7.0,16.0,6.0,0.0,0.04
"Kellogg's Eggo Savory Handheld Bacon, Egg & Cheese 21.7oz",77.0,24.5,136.0,234.0,2.6,11.2,8.5,10.8,7.0,0.0,0.05
Kellogg's Special K Cereal Bars Cranberry Almond 1.16oz,33.0,62.1,0.0,441.0,5.3,8.5,35.7,18.5,69.0,0.0,0.04
Kellogg's Fruit Pieces Non-Licensed Berry Sours .7oz,20.0,77.5,0.0,322.0,0.2,3.0,54.4,0.0,0.0,60.0,0.0
KELLOGG FRUIT PIECES NON-LICENSED BERRY SOURS 57.6OZ,20.0,77.5,0.0,322.0,0.2,3.0,54.4,0.0,0.0,60.0,0.0
Kellogg's Eggo Waffles Thick & Fluffy Pumpkin 11.6oz,55.0,40.1,10.0,285.0,1.5,5.0,10.2,11.9,24.0,0.0,0.73
Kellogg's Fruit Pieces Non-Licensed Berry Sours 15.84oz,20.0,77.5,0.0,322.0,0.2,3.0,54.4,0.0,0.0,60.0,0.0
Kellogg's Fruit Pieces Non-Licensed Mixed Berry 17.6oz,22.0,75.2,0.0,317.0,0.2,3.6,51.7,0.2,0.0,273.0,0.0
Kellogg's Eggo Waffles Thick & Fluffy Pumpkin 69.8oz,55.0,40.1,10.0,285.0,1.5,5.0,10.2,11.9,24.0,0.0,0.73
Kellogg's Fruit Pieces Non-Licensed Mixed Berry .8oz,22.0,75.2,0.0,317.0,0.2,3.6,51.7,0.2,0.0,273.0,0.0
Kellogg's Nutri-Grain Cereal Bars Cinnamon 1.4oz,40.0,66.5,25.0,401.0,2.6,4.4,35.0,13.9,25.0,0.0,0.03
Kellogg's Nutri-Grain Cereal Bars Lemon 1.4oz,40.0,66.0,26.0,402.0,2.6,4.4,35.7,14.3,23.0,0.0,0.02
Sunshine Cheez-It Crackers Sharp White Cheddar 17oz,29.0,65.2,8.0,483.0,1.3,9.7,2.7,20.3,14.0,0.0,0.02
Kellogg's All Bran Cereal Original 18.3oz,31.0,73.7,0.0,259.0,32.0,12.5,19.0,3.3,380.0,20.0,6.0
KASHI GOLEAN CEREAL TOASTED BERRY CRUMBLE 40OZ,51.0,66.7,0.0,368.0,15.8,18.0,21.7,8.2,64.0,1.0,0.0
Kashi Golean Cereal Crunch Honey Almond Flax 14oz,53.0,66.9,0.0,379.0,15.0,16.8,22.2,9.9,105.0,1.0,0.04
Kashi Golean Cereal Crisp Toasted Berry 14oz,51.0,66.7,0.0,368.0,15.8,18.0,21.7,8.2,64.0,1.0,0.0
Keebler Sugar Wafers Cookies Vanilla 2.75oz,31.0,70.1,0.0,487.0,0.9,2.4,47.9,22.5,0.0,0.0,0.0
Keebler Fudge Shoppe Cookies Grasshopper Mint & Fudge 10oz,29.0,68.7,1.0,503.0,3.1,4.1,39.7,23.9,38.0,0.0,0.02
Keebler Caddies Cookies Fudge Stripes Minis 12oz,28.0,69.2,1.0,497.0,2.4,4.1,31.7,23.2,21.0,0.0,0.03
Kellogg's Pringles Crisps Kickin Chicken Taco 5.5oz,28.0,56.8,0.0,523.0,3.0,4.7,2.3,30.9,24.0,13.0,0.31
Kellogg's Pringles Crisps Buffalo Ranch 5.5oz,28.0,56.4,1.0,519.0,2.4,4.8,2.5,30.7,27.0,27.0,0.31
Kellogg's Rice Krispies Treats Squares Whole Grain .42oz,12.0,76.2,0.0,409.0,1.5,4.0,28.5,10.1,64.0,0.0,0.25
PRINGLES CRISPS BUFFALO RANCH 6.56OZ,28.0,56.4,1.0,519.0,2.4,4.8,2.5,30.7,27.0,27.0,0.31
Kellogg's Apple Jacks Cereal .95oz,27.0,87.6,0.0,370.0,10.3,5.5,34.5,3.8,35.0,52.0,1.72
Kellogg's Cereal Breakfast Bar Apple Cinnamon 1.27oz,36.0,74.3,0.0,385.0,7.1,5.8,26.0,8.3,44.0,0.0,0.6
Kellogg's Rice Krispies Treats Squares Original 2.2oz,62.0,77.2,0.0,412.0,0.2,3.1,34.5,10.2,12.0,0.0,0.05
PRINGLES CRISPS SPICY CHICKEN TACO 5.96OZ,28.0,56.8,0.0,523.0,3.0,4.7,2.3,30.9,24.0,13.0,0.31
Keebler Murray Sugar Free Cookies Chocolate Creme 1oz,28.0,66.1,1.0,464.0,5.0,5.3,1.1,24.9,44.0,0.0,0.06
KELLOGG SPECIAL K CEREAL BARS RED VELVET 5.28OZ,25.0,77.9,2.0,404.0,2.3,4.7,29.3,8.7,25.0,0.0,0.02
Kellogg's Pop-Tarts Chocolate Chip 14.7oz,52.0,69.9,0.0,402.0,1.6,4.7,34.1,11.7,15.0,0.0,0.02
KELLOGG FRUIT PIECES DISNEY DISNEY FROZEN 64OZ,22.0,75.5,0.0,318.0,0.3,3.3,51.9,0.3,1.0,273.0,0.01
Kellogg's Fruit Pieces Disney Dory 64oz,22.0,75.5,0.0,318.0,0.3,3.3,51.9,0.3,1.0,273.0,0.01
KELLOGG FRUIT PIECES DISNEY DISNEY FROZEN 3.2OZ,22.0,75.5,0.0,318.0,0.3,3.3,51.9,0.3,1.0,273.0,0.01
Kellogg's Fruit Pieces Disney Disney Frozen 17.6oz,22.0,75.5,0.0,318.0,0.3,3.3,51.9,0.3,1.0,273.0,0.01
KELLOGG FRUIT PIECES DISNEY DORY 17.6OZ,22.0,75.5,0.0,318.0,0.3,3.3,51.9,0.3,1.0,273.0,0.01
KELLOGG FRUIT PIECES DISNEY DISNEY CARS 17.6OZ,22.0,75.5,0.0,318.0,0.3,3.3,51.9,0.3,1.0,273.0,0.01
KELLOGG FRUIT PIECES DISNEY DISNEY PRINCESS 17.6OZ,22.0,75.5,0.0,318.0,0.3,3.3,51.9,0.3,1.0,273.0,0.01
Pringles Crisps Buffalo Blue Cheese 5.96oz,28.0,56.5,0.0,523.0,2.5,4.3,2.1,31.1,24.0,13.0,0.31
Kellogg's Pop-Tarts Caramel Apple 21.1oz,50.0,71.8,1.0,398.0,1.1,3.8,30.0,10.7,8.0,0.0,0.4
Kellogg's Pop-Tarts Caramel Apple 28.2oz,50.0,71.8,1.0,398.0,1.1,3.8,30.0,10.7,8.0,0.0,0.4
Pringles Crisps Sour Cream & Onion 5.96oz,28.0,57.2,1.0,524.0,2.5,4.4,2.8,31.0,24.0,13.0,0.31
PRINGLES CRISPS SOUR CREAM & ONION 13.12OZ,28.0,57.2,1.0,524.0,2.5,4.4,2.8,31.0,24.0,13.0,0.31
PRINGLES CRISPS ORIGINAL 18.9OZ,28.0,56.5,0.0,543.0,2.5,4.3,1.3,33.4,25.0,13.0,0.33
PRINGLES CRISPS SOUR CREAM & ONION 19.68OZ,28.0,57.2,1.0,524.0,2.5,4.4,2.8,31.0,24.0,13.0,0.31
Keebler Chips Deluxe Cookies Rainbow 7.5oz,31.0,65.3,10.0,506.0,2.4,4.7,33.3,25.4,8.0,0.0,0.02
Keebler Chips Deluxe Cookies Peanut Butter Cups 7.4oz,32.0,60.8,2.0,524.0,2.5,6.8,31.0,28.7,34.0,0.0,0.02
Bear Naked Cereal Chocolate Almond 13oz,58.0,81.4,0.0,388.0,7.6,8.2,21.0,6.2,90.0,0.0,0.0
Kashi Golean Cereal Chocolate Coconut 12.2oz,52.0,62.1,0.0,415.0,13.0,19.0,19.5,13.3,140.0,0.0,0.05
Bear Naked Cereal Toasted Coconut Almond 12oz,30.0,72.1,0.0,427.0,9.2,11.7,11.8,10.2,122.0,0.0,0.1
Bear Naked Cereal Toasted Coconut 13oz,55.0,78.5,0.0,398.0,8.7,8.4,15.5,9.0,84.0,0.0,0.02
Kashi Bear Naked Cereal Honey Nut 13oz,57.0,82.6,0.0,377.0,7.9,8.6,17.6,4.3,91.0,0.0,0.0
Keebler Cereal Chips Deluxe Rainbow 11.2oz,30.0,78.5,1.0,430.0,2.8,6.1,35.4,11.0,11.0,50.0,1.67
Kellogg's Rice Krispies Treats Squares Original 31.2oz,11.0,77.2,0.0,412.0,0.2,3.1,34.5,10.2,12.0,0.0,0.05
KELLOGG RKT SQUARES ORIGINAL 31.2OZ,11.0,77.2,0.0,412.0,0.2,3.1,34.5,10.2,12.0,0.0,0.05
Kellogg's Mini-Wheats Cereal Bite Size Strawberry 21oz,55.0,84.6,0.0,352.0,10.2,8.7,22.7,1.6,81.0,0.0,0.91
Kellogg's Pop-Tarts Frosted Blueberry Slurpee 3.67oz,104.0,72.8,0.0,392.0,1.2,3.8,31.1,9.6,8.0,0.0,0.38
Sunshine Krispy Crackers Large Oyster .5oz,14.0,77.2,0.0,418.0,1.6,8.4,2.2,8.9,15.0,0.0,0.03
Kellogg's Special K Cereal Bars Chocolate Peanut 1.23oz,35.0,43.7,1.0,469.0,4.5,23.2,23.9,24.8,67.0,0.0,0.02
KELLOGG SPECIAL K CEREAL BARS CHOCOLATE 7.38OZ,35.0,43.7,1.0,483.0,11.6,23.2,23.9,24.8,67.0,0.0,0.02
Keebler Grahams Crackers Plain 5.33oz 30ct,28.0,74.4,0.0,434.0,5.4,8.6,20.3,13.2,60.0,0.0,0.14
Keebler Grahams Crackers Honey .49oz 200ct,14.0,75.6,0.0,427.0,5.4,8.6,21.8,12.0,60.0,0.0,0.14
Sunshine Crackers Wheat 12oz,30.0,68.5,0.0,449.0,3.9,10.4,8.4,16.2,26.0,0.0,0.1
Keebler Graham Cracker Crumbs Plain 160oz,30.0,75.6,0.0,425.0,5.2,8.1,21.2,11.9,46.0,0.0,0.1
Keebler Graham Cracker Crumbs Graham 400oz,30.0,75.6,0.0,425.0,5.2,8.1,21.2,11.9,46.0,0.0,0.1
Keebler Grahams Crackers Original .49oz,14.0,74.4,0.0,434.0,5.4,8.6,20.3,13.2,60.0,0.0,0.14
Keebler Grahams Crackers Fiber Enrich Honey Graham .81oz,23.0,76.6,0.0,393.0,11.0,6.8,16.9,10.4,10.0,0.0,0.01
Keebler Grahams Crackers Honey Graham With Calcium .78oz,22.0,76.3,0.0,415.0,4.9,6.9,20.6,10.9,11.0,0.0,0.01
Pringles Crisps Snack Stacks Sour Cream & Cheddar .74oz,21.0,56.7,1.0,524.0,2.4,4.4,3.0,31.4,24.0,26.0,0.31
Kellogg's Fruit Pieces Disney Doc Mcstuffins .8oz,22.0,75.5,0.0,318.0,0.3,3.3,51.9,0.3,1.0,273.0,0.01
KELLOGG OTHER LICENSED FRUIT PIECES LOONEY TUNES .8OZ,22.0,75.5,0.0,318.0,0.3,3.3,51.9,0.3,1.0,273.0,0.01
KELLOGG FRUIT PIECES NON-LICENSED FROOT LOOPS .8OZ,22.0,75.5,0.0,318.0,0.3,3.3,51.9,0.3,1.0,273.0,0.01
Kellogg's Fruit Pieces Non-Licensed Froot Loops Letters .8oz,22.0,75.5,0.0,318.0,0.3,3.3,51.9,0.3,1.0,273.0,0.01
Kellogg's Fruit Pieces Disney Inside Out .8oz,22.0,75.5,0.0,318.0,0.3,3.3,51.9,0.3,1.0,273.0,0.01
KELLOGG OTHER LICENSED FRUIT PIECES NASCAR .8OZ,22.0,75.5,0.0,318.0,0.3,3.3,51.9,0.3,1.0,273.0,0.01
PRINGLES CRISPS LIGHTLY SALTED CHEDDAR CHEESE 5.95OZ,28.0,57.0,1.0,530.0,2.5,4.5,2.8,31.7,24.0,13.0,0.31
KELLOGG FRUIT PIECES DISNEY DISNEY FROZEN 64OZ,22.0,75.5,0.0,318.0,0.3,3.3,51.9,0.3,1.0,273.0,0.01
Kellogg's Fruit Pieces Disney Disney Frozen .8oz,22.0,75.5,0.0,318.0,0.3,3.3,51.9,0.3,1.0,273.0,0.01
Kellogg's Fruit Pieces Disney Disney Zootopia .8oz,22.0,75.5,0.0,318.0,0.3,3.3,51.9,0.3,1.0,273.0,0.01
KELLOGG FRUIT PIECES DISNEY FROZEN MOVIE 16OZ,22.0,75.5,0.0,318.0,0.3,3.3,51.9,0.3,1.0,273.0,0.01
Kellogg's Special K Cereal Bars Red Velvet .88oz,25.0,77.9,2.0,402.0,2.0,4.7,29.3,8.7,25.0,0.0,0.02
Kellogg's Fruit Pieces Non Licensed Batman Vs Superman .8oz,22.0,75.5,0.0,318.0,0.3,3.3,51.9,0.3,1.0,273.0,0.01
KELLOGG FRUIT PIECES DISNEY DISNEY FROZEN 32OZ,22.0,75.5,0.0,318.0,0.3,3.3,51.9,0.3,1.0,273.0,0.01
Keebler Cones Vanilla Cup 3oz,4.0,85.9,0.0,406.0,2.8,9.2,1.0,2.8,0.0,0.0,0.0
Keebler Grahams Crackers Original .78oz,22.0,75.0,0.0,422.0,4.9,7.0,19.1,12.3,10.0,0.0,0.02
Kellogg's Pringles Crisps Reduced Fat Sour Cream & Onion 5.2oz,28.0,62.9,1.0,493.0,2.6,4.6,2.9,24.9,26.0,13.0,0.33
Kellogg's Special K Cereal Bars Caramel Pretzel Cashew 1.23oz,35.0,47.9,1.0,443.0,2.5,23.6,26.1,19.8,46.0,0.0,0.01
Kellogg's Other Licensed Fruit Pieces Marvel Avengers .8oz,22.0,75.5,0.0,318.0,0.3,3.3,51.9,0.3,1.0,273.0,0.01
Kellogg's Fruit Pieces Disney Disney Cars .8oz,22.0,75.5,0.0,318.0,0.3,3.3,51.9,0.3,1.0,273.0,0.01
Kellogg's Fruit Pieces Disney Disney Toy Story .8oz,22.0,75.5,0.0,318.0,0.3,3.3,51.9,0.3,1.0,273.0,0.01
Kellogg's Other Licensed Fruit Pieces Super Mario .8oz,22.0,75.5,0.0,318.0,0.3,3.3,51.9,0.3,1.0,273.0,0.01
Kellogg's Fruit Pieces Disney Dory .8oz,22.0,75.5,0.0,318.0,0.3,3.3,51.9,0.3,1.0,273.0,0.01
Kellogg's Fruit Pieces Disney Disney Princess .8oz,22.0,75.5,0.0,318.0,0.3,3.3,51.9,0.3,1.0,273.0,0.01
Kellogg's Fruit Pieces Disney Disney Fairies .8oz,22.0,75.5,0.0,318.0,0.3,3.3,51.9,0.3,1.0,273.0,0.01
KELLOGG FRUIT PIECES DISNEY DORY 16OZ,22.0,75.5,0.0,318.0,0.3,3.3,51.9,0.3,1.0,273.0,0.01
Kellogg's Fruit Pieces Disney Disney Monsters Inc 8oz,22.0,75.5,0.0,318.0,0.3,3.3,51.9,0.3,1.0,273.0,0.01
PRINGLES CRISPS REDUCED FAT SOUR CREAM & ONION 5.64OZ,28.0,62.9,1.0,493.0,2.6,4.6,2.9,24.9,26.0,13.0,0.33
Pringles Crisps Original 5.68oz,28.0,56.5,0.0,543.0,2.5,4.3,1.3,33.4,25.0,13.0,0.33
Pringles Crisps Sour Cream & Onion 5.96oz,28.0,57.2,1.0,524.0,2.5,4.4,2.8,31.0,24.0,13.0,0.31
Pringles Crisps Original 4.41oz,28.0,56.5,0.0,543.0,2.5,4.3,1.3,33.4,25.0,13.0,0.33
Pringles Crisps Sour Cream & Onion 4.62oz,28.0,57.2,1.0,524.0,2.5,4.4,2.8,31.0,24.0,13.0,0.31
Keebler Grahams Crackers Honey 5.33oz 30ct,28.0,75.6,0.0,427.0,5.4,8.6,21.8,12.0,60.0,0.0,0.14
Keebler Processor Private Label Crackers Butter 336oz 1ct,16.0,64.3,0.0,494.0,3.1,7.0,6.3,23.6,16.0,0.0,0.03
Keebler Cones Vanilla Cup Pointed 1000ct,4.0,85.9,0.0,406.0,2.8,9.2,1.0,2.8,0.0,0.0,0.0
Keebler Cones Cake 600ct,6.0,85.9,0.0,406.0,2.8,9.2,1.0,2.8,0.0,0.0,0.0
Keebler Cones Cake 600ct,6.0,85.9,0.0,406.0,2.8,9.2,1.0,2.8,0.0,0.0,0.0
Keebler Cones Cake 600ct,6.0,85.9,0.0,406.0,2.8,9.2,1.0,2.8,0.0,0.0,0.0
Keebler Processor Private Label Crackers Butter 368oz 1ct,19.0,64.3,0.0,494.0,3.1,7.0,6.3,23.6,16.0,0.0,0.03
Kellogg's Other Licensed Fruit Pieces Blaze 8oz,22.0,75.5,0.0,318.0,0.3,3.3,51.9,0.3,1.0,273.0,0.01
KELLOGG OTHER LICENSED FRUIT PIECES BARBIE 8OZ,22.0,75.5,0.0,318.0,0.3,3.3,51.9,0.3,1.0,273.0,0.01
Kellogg's Special K Cereal Bars Strawberry 13.2oz,25.0,78.8,1.0,405.0,1.1,4.5,29.5,8.4,11.0,1.0,0.01
KELLOGG SPECIAL K CEREAL BARS STRAWBERRY 15.84OZ,25.0,78.9,1.0,407.0,1.1,4.5,29.5,8.3,11.0,1.0,0.01
KELLOGG SPECIAL K CEREAL BARS STRAWBERRY 10.56OZ,25.0,78.9,1.0,407.0,1.1,4.5,29.5,8.3,11.0,1.0,0.01
KELLOGG SPECIAL K CEREAL BARS COOKIES N' CREME 5.28OZ,25.0,78.1,1.0,402.0,2.6,3.9,28.4,8.8,19.0,1.0,0.0
KELLOGG SPECIAL K CEREAL BARS STRAWBERRY 5.28OZ,25.0,78.9,1.0,407.0,1.1,4.5,29.5,8.3,11.0,1.0,0.01
Kellogg's Special K Cereal Bars Strawberry .88oz,25.0,78.8,1.0,405.0,1.1,4.5,29.5,8.4,11.0,1.0,0.01
Kellogg's Special K Cereal Bars Strawberry 8.8oz,25.0,78.9,1.0,407.0,1.1,4.5,29.5,8.3,11.0,1.0,0.01
KELLOGG SPECIAL K CEREAL BARS STRAWBERRY 5.28OZ,25.0,78.9,1.0,407.0,1.1,4.5,29.5,8.3,11.0,1.0,0.01
Kellogg's Special K Cereal Bars Cookies & Creme .88oz,25.0,77.3,1.0,401.0,2.0,4.1,28.5,8.8,12.0,0.0,0.0
Kellogg's Special K Cereal Bars Dark Chocolate Nut 1.16oz,33.0,50.2,1.0,513.0,6.0,11.5,27.9,30.8,104.0,0.0,0.01
KELLOGG SPECIAL K CEREAL BARS FRUIT & NUT 7.38OZ,35.0,49.1,0.0,445.0,11.4,22.7,28.8,18.3,53.0,0.0,0.01
KELLOGG SPECIAL K CEREAL BARS CHOCOLATE 6.9OZ,33.0,50.2,1.0,513.0,6.0,11.5,27.9,30.8,104.0,0.0,0.01
KELLOGG SPECIAL K CEREAL BARS BROWN SUGAR CINNAMON 5.28OZ,25.0,78.8,1.0,404.0,1.6,3.9,28.0,8.6,3.0,2.0,0.0
Kellogg's Special K Cereal Bars Brown Sugar Cinnamon .88oz,25.0,78.8,1.0,404.0,1.1,3.9,28.0,8.6,3.0,2.0,0.0
Kellogg's Rice Krispies Treats Squares Original .39oz,11.0,77.2,0.0,412.0,0.2,3.1,34.5,10.2,12.0,0.0,0.05
Kellogg's Rice Krispies Treats Squares Original .39oz,11.0,77.2,0.0,412.0,0.2,3.1,34.5,10.2,12.0,0.0,0.05
Kellogg's Rice Krispies Treats Squares Original .39oz,11.0,77.2,0.0,412.0,0.2,3.1,34.5,10.2,12.0,0.0,0.05
Kellogg's Rice Krispies Treats Squares Original .39oz,11.0,77.2,0.0,412.0,0.2,3.1,34.5,10.2,12.0,0.0,0.05
KELLOGG RKT SQUARES ORIGINAL 12.4OZ,44.0,77.0,0.0,411.0,0.2,3.0,34.6,10.2,12.0,0.0,0.9
Kellogg's Mini-Wheats Cereal Pumpkin Spice 15.5oz,55.0,84.3,0.0,349.0,10.9,9.1,20.9,1.6,85.0,0.0,0.91
KELLOGG MINI-WHEATS PUMPKIN SPICE 52.4OZ,55.0,84.3,0.0,349.0,10.9,9.1,20.9,1.6,85.0,0.0,0.91
Kellogg's Corn Flakes Cereal .81oz,23.0,84.1,0.0,357.0,3.3,7.5,9.5,0.4,39.0,21.0,1.79
Kellogg's Mini-Wheats Cereal Bite Size Frosted 1.31oz,37.0,84.4,0.0,350.0,10.8,9.2,20.3,1.6,86.0,0.0,0.93
Kellogg's Shredded Wheat Minis Cereal Bite Size Unfrosted 1.2oz,34.0,82.0,0.0,342.0,13.8,11.6,0.4,2.0,110.0,0.0,0.91
Kellogg's Corn Flakes Crumbs Cereal 21oz,33.0,86.4,0.0,375.0,1.2,7.6,8.9,0.4,40.0,25.0,1.83
Mother's Caddies Crackers Animals 12oz,28.0,67.5,1.0,519.0,0.5,4.1,41.3,26.0,9.0,0.0,0.02
Mother's Caddies Cookies Circus Animals 1oz,28.0,67.5,1.0,519.0,0.5,4.1,41.3,26.0,9.0,0.0,0.02
Kellogg's Eggo Waffles Oats & Berries Blueberry 9.8oz,70.0,43.9,9.0,267.0,2.7,5.7,10.2,8.2,36.0,1.0,0.28
Pringles Crisps Original 5.2oz,28.0,56.5,0.0,543.0,2.5,4.3,1.3,33.4,25.0,13.0,0.33
Pringles Crisps Sour Cream & Onion 5.5oz,28.0,57.2,1.0,524.0,2.5,4.4,2.8,31.0,24.0,13.0,0.31
Pringles Crisps Sour Cream & Onion 6.56oz,28.0,57.2,1.0,524.0,2.5,4.4,2.8,31.0,24.0,13.0,0.31
Pringles Crisps Original 6.3oz,28.0,56.5,0.0,543.0,2.5,4.3,1.3,33.4,25.0,13.0,0.33
Pringles Crisps Original 6.3oz,28.0,56.5,0.0,543.0,2.5,4.3,1.3,33.4,25.0,13.0,0.33
Pringles Crisps Sour Cream & Onion 6.56oz,28.0,57.2,1.0,524.0,2.5,4.4,2.8,31.0,24.0,13.0,0.31
PRINGLES CRISPS SOUR CREAM & ONION 5.96OZ,28.0,57.2,1.0,524.0,2.5,4.4,2.8,31.0,24.0,13.0,0.31
Pringles Crisps Original 5.68oz,28.0,56.5,0.0,543.0,2.5,4.3,1.3,33.4,25.0,13.0,0.33
Morningstar Farms Entrees Italian Veggie Sausage Bake 9oz,255.0,9.2,9.0,92.0,2.2,5.3,3.1,4.3,17.0,2.0,0.12
Morningstar Farms Entrees Indian Chik'N Tikka 9oz,255.0,17.8,12.0,134.0,3.6,6.8,2.5,4.9,13.0,2.0,0.07
Morningstar Farms Entrees Japanese Soba Noodle 8.5oz,241.0,15.3,0.0,99.0,2.0,7.0,1.5,1.3,13.0,2.0,0.08
Morningstar Farms Entrees Morrocan Medley 8.5oz,241.0,14.4,0.0,100.0,1.9,4.7,1.1,2.6,9.0,3.0,0.08
Morningstar Farms Entrees Chicken Pot Pie 8.5oz,241.0,15.2,8.0,136.0,1.3,5.9,2.1,6.3,9.0,2.0,0.12
Kellogg's Mini-Wheats Cereal Bite Size Frosted 36oz,54.0,84.4,0.0,350.0,10.8,9.2,20.3,1.6,86.0,0.0,0.93
Kellogg's Mini-Wheats Cereal Bite Size Frosted 1oz,28.0,84.4,0.0,350.0,10.8,9.2,20.3,1.6,86.0,0.0,0.93
Kellogg's Mini-Wheats Cereal Blueberry Vanilla 14.3oz,55.0,83.3,0.0,344.0,11.2,9.0,19.1,1.4,109.0,1.0,0.91
Kellogg's Mini-Wheats Cereal Cranberry Yogurt 14.3oz,55.0,82.9,0.0,343.0,11.2,9.2,19.0,1.4,108.0,1.0,0.91
Kellogg's Mini-Wheats Cereal Bite Size Frosted 2.5oz,71.0,84.4,0.0,350.0,10.8,9.2,20.3,1.6,86.0,0.0,0.93
Kellogg's Mini-Wheats Cereal Bite Size Frosted 18oz,54.0,84.4,0.0,350.0,10.8,9.2,20.3,1.6,86.0,0.0,0.93
Kellogg's Mini-Wheats Cereal Bite Size Frosted 24oz,54.0,84.4,0.0,350.0,10.8,9.2,20.3,1.6,86.0,0.0,0.93
KELLOGG MINI-WHEATS BITE SIZE FROSTED 30OZ,54.0,84.4,0.0,350.0,10.8,9.2,20.3,1.6,86.0,0.0,0.93
Kellogg's Mini-Wheats Cereal Blueberry Muffin 21oz,55.0,84.8,0.0,352.0,10.2,8.6,22.7,1.6,81.0,0.0,0.91
Kellogg's Mini-Wheats Cereal Blueberry Muffin 15.5oz,55.0,84.8,0.0,352.0,10.2,8.6,22.7,1.6,81.0,0.0,0.91
Kellogg's Mini-Wheats Cereal Maple Brown Sugar 21oz,55.0,84.7,0.0,351.0,10.3,8.7,22.7,1.5,82.0,0.0,0.91
Kellogg's Mini-Wheats Cereal Maple Brown Sugar 15.5oz,55.0,84.7,0.0,351.0,10.3,8.7,22.7,1.5,82.0,0.0,0.91
Kellogg's Mini-Wheats Cereal Little Bites Original 15.2oz,56.0,84.3,0.0,351.0,10.8,9.2,20.2,1.7,77.0,0.0,0.89
Kellogg's Mini-Wheats Cereal Raspberry 15oz,55.0,82.1,0.0,342.0,10.6,8.8,17.8,1.8,83.0,0.0,0.91
KELLOGG MINI-WHEATS BITE SIZE FROSTED 18OZ,54.0,84.4,0.0,350.0,10.8,9.2,20.3,1.6,86.0,0.0,0.93
Kellogg's Nutri-Grain Cereal Bars Strawberry Greek Yogurt 1.3oz,37.0,67.1,0.0,365.0,7.0,4.7,31.3,9.6,24.0,0.0,1.35
KELLOGG NUTRI-GRAIN CEREAL BARS CHOCOLATE WITH RASPBERRY 1.3OZ,37.0,66.6,0.0,369.0,7.2,4.8,33.7,10.4,41.0,0.0,1.35
Kellogg's Nutri-Grain Cereal Bars Apple Cinnamon 31.2oz,37.0,63.5,0.0,338.0,7.0,4.1,33.4,8.6,24.0,0.0,1.35
Kellogg's Nutri-Grain Cereal Bars Strawberry 31.2oz,37.0,63.5,0.0,338.0,7.1,4.1,31.0,8.6,24.0,0.0,1.35
Kellogg's Nutri-Grain Cereal Bars Apple Cinnamon 20.8oz,37.0,63.5,0.0,338.0,7.0,4.1,33.4,8.6,24.0,0.0,1.35
Kellogg's Nutri-Grain Cereal Bars Strawberry 20.8oz,37.0,63.5,0.0,338.0,7.1,4.1,31.0,8.6,24.0,0.0,1.35
